Cuenta,Region,Monto,Comentario
1102321305,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102324049,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102324058,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102326045,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102331023,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102339039,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102835833,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102835837,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102926662,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102928600,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1102978128,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1103337111,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1103363105,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104039448,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104044511,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104056486,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104057431,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104062441,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104062462,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104329186,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104330183,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104332144,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1104333147,2,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100667000,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668041,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668052,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100668054,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669017,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669022,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669023,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669024,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669025,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669026,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100669029,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670032,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670034,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670043,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670044,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670045,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670051,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100670052,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671016,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671019,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671022,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100671025,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672013,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672014,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672016,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672017,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100672021,3,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
