Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100710017,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919589,8779129,24-05-2020,R05,229.00
1100691012,,AC_AJCRASE,CR,1,74108.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919588,8779131,24-05-2020,R05,741.08
1100702015,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919587,8779130,24-05-2020,R05,229.00
1100687002,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919586,8771306,24-05-2020,R05,499.00
1100677012,,AC_AJCRASE,CR,1,58978.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919585,8771300,24-05-2020,R05,589.78
1100673045,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919584,8771302,24-05-2020,R05,499.00
1100677011,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919583,8771301,24-05-2020,R05,499.00
1100680002,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919582,8771297,24-05-2020,R05,499.00
1100675046,,AC_AJCRASE,CR,1,42927.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919581,8771298,24-05-2020,R05,429.27
1100683007,,AC_AJCRASE,CR,1,42900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919580,8771303,24-05-2020,R05,429.00
1100677009,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919579,8771295,24-05-2020,R05,499.00
1100710015,,AC_AJCRASE,CR,1,23019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919899,8772072,24-05-2020,R04,230.19
1100693000,,AC_AJCRASE,CR,1,50378.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919898,8772073,24-05-2020,R04,503.78
1100685038,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919575,8781045,24-05-2020,R05,499.00
1100684035,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919567,8777124,24-05-2020,R05,229.00
